[2020-07-18 09:55:55.200] S0	S1	S2	Time	D	P	DIR	Angle	Kp	Kd	Speed	Layout
[2020-07-18 09:56:00.310] 	 300	 260	 300	  372476	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.381] 	 300	 260	 300	  372496	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.400] 	 300	 261	 300	  372526	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.413] 	 300	 259	 300	  372546	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.435] 	 300	 259	 300	  372566	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.496] 	 300	 261	 300	  372596	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.512] 	 300	 262	 300	  372616	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.530] 	 300	 261	 300	  372636	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.564] 	 300	 260	 300	  372656	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.580] 	 300	 261	 300	  372686	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.597] 	 300	 260	 300	  372706	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.615] 	 300	 259	 300	  372726	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.644] 	 300	 261	 300	  372756	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.656] 	 300	 261	 300	  372776	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.687] 	 300	 262	 300	  372797	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.753] 	 300	 262	 300	  372826	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.767] 	 300	 263	 300	  372846	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.816] 	 300	 261	 300	  372876	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.829] 	 300	 260	 300	  372896	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.844] 	 300	 262	 300	  372916	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.877] 	 300	 262	 300	  372936	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.919] 	 300	 258	 300	  372966	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.966] 	 300	 259	 300	  372986	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:00.999] 	 300	 262	 300	  373016	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.010] 	 300	 261	 300	  373036	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.029] 	 300	 263	 300	  373056	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.040] 	 300	 260	 300	  373086	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.137] 	 300	 262	 300	  373106	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.166] 	 300	 259	 300	  373126	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.192] 	 300	 259	 300	  373156	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.202] 	 300	 261	 300	  373176	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.219] 	 300	 263	 300	  373196	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.236] 	 300	 261	 300	  373226	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.248] 	 300	 263	 300	  373246	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.257] 	 300	 262	 300	  373266	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.277] 	 300	 260	 300	  373296	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.283] 	 300	 262	 300	  373316	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.302] 	 300	 261	 300	  373336	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.315] 	 300	 263	 300	  373366	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.353] 	 300	 260	 300	  373386	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.401] 	 300	 263	 300	  373416	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.495] 	 300	 262	 300	  373436	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.534] 	 300	 261	 300	  373456	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.562] 	 300	 261	 300	  373476	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.562] 	 300	 260	 300	  373506	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.577] 	 300	 258	 300	  373526	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.596] 	 300	 259	 300	  373546	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.615] 	 300	 261	 300	  373576	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.628] 	 300	 259	 300	  373596	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.645] 	 300	 261	 300	  373616	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.663] 	 300	 262	 300	  373646	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.674] 	 300	 262	 300	  373666	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.689] 	 300	 261	 300	  373686	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.710] 	 300	 262	 300	  373716	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.716] 	 300	 259	 300	  373736	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.781] 	 300	 260	 300	  373756	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.860] 	 300	 261	 300	  373786	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.876] 	 300	 261	 300	  373806	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.896] 	 300	 261	 300	  373826	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.911] 	 300	 263	 300	  373856	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.911] 	 300	 261	 300	  373876	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.923] 	 300	 263	 300	  373906	 0.00	 0.00	1	  0	0.60	0.10	180	2
[2020-07-18 09:56:01.945] 	 300	 259	 300	  373926	 0.00	 0.00	1	  0	0.60	0.10	180	2
